symbol,m1_nopep,m2_nopep,m3_nopep,m4_nopep,m1_onexpep,m2_onexpep,m3_onexpep,m4_onexpep,m1_multipep,m2_multipep,m3_multipep,m4_multipep,m5_multipep
Srgap3,0.114828371,0.1647915226,0.127543228,0.1979712802,0.4655085284,0.5690339666,0.885204486,0.5023758359,0.9960144202,1.5864864734,0.9152663468,1.47150522,1.1842970741
Kcnk5,0.3468965638,0.6969337035,0.6133424306,0.5704410686,1.4283552652,1.8856315856,2.0907337069,1.7309778844,2.000264805,2.295344263,1.9486316825,2.3951323033,3.1119265433
Myl10,4.7232291503,7.8930860915,8.0048100315,3.3875388575,0.8600183133,1.5014729208,1.1276613927,0.8576548824,0.1940660122,0.1459032274,0.1629376677,0.1045667653,0.1384622109
Trnp1,1.0115046321,0.8725709295,0.8755136982,0.9722514086,0.3160933498,0.2223829766,0.2448003687,0.326889673,0.2109300905,0.1616914752,0.1837796299,0.1156390385,0.1396009736
Hopx,0.4005929299,0.6173904629,0.4349569283,0.3551293696,1.2962562623,1.7981745001,1.7179587343,1.1402513372,0.6334033976,0.7526750556,0.7621352348,0.6210283466,0.5973211827
Entpd1,0.0212309989,0.047538111,0.0459278108,0.0263018098,0.1250163109,0.1991640032,0.2362162967,0.1672600356,0.1235323658,0.2414292757,0.1428783671,0.1283128712,0.1996813187
Cldnd1,5.7162296527,6.0001578909,5.3211466907,4.3194936853,17.2040675893,15.5488290934,15.4572911416,13.4628826985,9.3919795683,9.8058599283,10.042148995,6.5233983547,8.4273550058
Serpina3f,0.2068182758,0.330774765,0.2061742845,0.1643641758,0.8202710851,1.5173638086,2.0243521114,0.794031085,0.6208040534,0.5517521379,0.8082789052,0.7796069462,0.7222288768
She,1.5641590916,1.5868061034,1.6409120197,1.9012109329,0.5170306124,0.3196586755,0.5151569185,0.7053358057,0.0672673017,0.0457428892,0.0510120009,0.0562945165,0.0548903519
Ncf4,1.6106442408,1.4840148358,1.8078600858,1.8831793216,3.1409273781,3.6690769223,4.1899205013,3.6896591812,1.590574798,1.8173657099,1.8710291807,1.5767429459,1.869179133
Scd2,2.8537736969,3.6295046918,5.3842276583,3.9998050618,14.0979219912,27.6257532172,26.1729086121,12.6080940735,70.2535618499,42.52167309,65.1055801919,59.9231403039,61.585066005
Itga1,0.0319953697,0.0611027551,0.0317882677,0.0584504239,0.0112123351,0.0124233219,0.011681538,0.0094588026,0.0108249396,0.0098346811,0.0087519954,0.0060327245,0.0078429989
Tiam1,0.1933219159,0.2355035566,0.3583815368,0.2565027653,0.0717995895,0.0997767673,0.086453748,0.0737875081,0.0948069113,0.0994695307,0.1094659655,0.1152358844,0.148146127
Vipr1,2.1347795221,1.6404404652,1.9847965249,2.0638933305,0.6758521738,0.5817671732,0.5371094831,0.8965165411,0.0650490315,0.060441533,0.0695101458,0.0521615931,0.0545171553
Klrk1,0.5582177932,1.2860764983,0.5979212007,0.9252036293,4.1448411637,8.4368693999,7.4161511838,2.2876279924,19.4199889983,31.4721244166,24.2860149282,21.7424185913,24.625102831
Ahnak,3.8107768322,4.8781994278,4.2555867742,3.1987581338,13.6444602431,19.1265737723,23.0621080633,9.7749961674,14.1160210509,11.5171209771,12.4823638072,12.3938807053,9.6445492899
Anxa4,0.053801121,0.0822151428,0.076123343,0.0576135577,0.2257861489,0.2552559109,0.3255803351,0.1612090895,0.3143206507,0.2240242887,0.2661099153,0.3119977996,0.2602496926
Cd200,0.1392267162,0.1080274375,0.1136381222,0.161773988,0.4804443141,0.3306286639,0.4897510669,0.5242361383,2.410875963,1.7988768672,1.6040939345,2.4926453766,3.0233414799
1110032F04Rik,1.0346259315,1.1389691472,1.1869990179,0.6998685174,4.4856514061,3.808435405,3.6897548482,2.7792344411,10.1098911705,9.2389037426,10.3003561926,6.8900878737,8.3829375379
Gpr55,0.1924490029,0.4826344196,0.4741072872,0.3602066125,1.1983284607,1.297718198,2.0102418612,1.4648493055,0.1128989299,0.1308227612,0.091483228,0.0974049859,0.1089228309
Ptpn14,0.2033554717,0.1088601608,0.1396940684,0.1938770123,0.0418337706,0.0359508012,0.0527230519,0.0595566282,0.0191004382,0.0221937558,0.0160367126,0.0153352491,0.0206151143
C030029H02Rik,0.0912311305,0.0651388788,0.0653585614,0.1094024027,0.3144037271,0.311500025,0.6534027089,0.555554487,0.6417353449,0.8886649635,0.6340883417,0.8937873324,1.6946874644
Litaf,0.0370509289,0.0515042886,0.0680676496,0.0538002008,0.1458415614,0.2166903756,0.2066658611,0.123676937,0.4754279738,0.5465621602,0.5156615839,0.4574419455,0.5521492467
Qpct,0.1497534752,0.2276798969,0.2003003476,0.1320371761,0.0530652879,0.04424361,0.052869042,0.0407707102,0.0427709639,0.038151789,0.0359104669,0.0225958223,0.0267533985
Endod1,0.2113472879,0.306906904,0.2749447163,0.1807565437,0.7050077648,1.187064178,1.0996152157,0.6178747301,3.1175845433,2.8961838582,3.193030711,2.5401821356,4.0321630612
Cd163,0.221770558,0.157039073,0.2385672377,0.2895889443,0.0708549766,0.0608405109,0.0695946569,0.064402686,0.0575815476,0.0450227573,0.0493123294,0.0340597895,0.0396192216
Arid3a,0.3788280776,0.3018914412,0.2909551278,0.37086728,0.8662624091,0.8321914261,0.9448591589,0.8711786902,1.3857918846,0.8802135758,1.2475757902,1.2501643014,1.2516742047
Mical3,0.1366577201,0.1962009669,0.1608783084,0.2217598168,0.0353474136,0.057967157,0.0656117197,0.0566603717,0.0923987315,0.111582399,0.1116518245,0.1711007587,0.1727425752
