symbol,B80,B81,B86,B94,B95,B96,LGL030,LGL037,LGL047,LGL052,LGL141,LGL148,LGL150,LGL002,LGL018,LGL028
EEF1G,30.2929849131,45.3043415561,40.4338829303,25.0236759771,28.3754442799,27.074669479,14.9991559234,12.394939209,23.1301726284,11.8561129031,9.3340577116,13.1848087474,15.3601048368,11.2481302124,14.5551882931,13.5333447796
IER2,220.1392073448,132.1282133641,278.1063581144,189.0466855231,199.7994393568,173.7833414532,121.8323841803,92.172092598,73.670732278,81.9565992169,54.1655425003,90.7834955031,76.4170355755,75.0240996226,57.296454324,109.091678018
GRPEL1,13.2634061048,10.7234321402,14.1948185306,13.5696191535,11.6355953963,13.1486197204,7.5818563666,4.4390546122,3.5857566115,5.4525666789,6.4493218884,7.7519825982,6.816760182,6.408350917,8.0132808437,6.2491051659
IRF2BP2,65.4298369533,52.3691660969,50.5771106373,67.4002533542,39.8942131422,56.3828003794,31.0554215328,14.0342993145,18.592699336,10.5079044167,20.5608314943,21.6497256332,14.6593733893,11.6427814126,25.8624199763,9.9217230013
C1QBP,8.0277399239,9.1416513715,6.0236835751,6.8208071465,9.2133998241,6.7615934576,4.6735777787,4.2781287729,4.9682552431,4.6200097108,3.2702870696,3.7944034589,3.5933498829,2.7592451175,3.5758793803,2.9733128994
SPAG16,0.0027851699,0.0053074508,0.0012308904,0.0012589627,0.0009335918,0.0031883362,0.1023585663,0.0020656677,0.0151945098,0.041555019,0.0539392686,0.045208655,0.0056422496,0.1617623858,0.0718594495,0.0360252543
RPL8,109.4311348846,122.3333865785,118.7419279821,91.4066405999,115.8244435559,90.8629166536,45.3295444384,60.1427778565,66.8273204612,32.9946468028,30.8491121061,36.2513380951,49.113928117,28.9316449764,36.0695596944,36.0510954944
LINC00909,0.2794391037,0.5442106859,0.2188960266,0.7537571553,0.7922821196,0.3283871471,2.1807834732,3.3931720108,1.8495522993,2.3241290373,2.53755442,1.8399935972,2.8164099477,3.6190015234,1.3200180672,4.9469671077
FAM53C,5.2068044431,8.6013251344,11.8104962883,14.1700104476,13.617109478,10.5294665,3.2895112646,3.226175368,2.6769175704,2.0335990999,4.2781733814,2.3228896122,3.2184665837,2.4696990258,6.2590964646,3.1571142887
TGFBI,12.143719079,0.7450456414,0.9035169293,0.3000607287,0.5493574883,9.5096077114,0.2011338915,0.1294570814,0.1428350518,0.2673253833,0.0157381314,0.3197776276,0.0167603397,0.2076423951,0.1912230693,0.2793910099
GPX1,270.892481579,43.5149337008,75.0155063426,18.3213590519,33.3542311857,219.279847027,10.1707157498,15.0362483483,22.9741339289,14.3040410598,2.402532521,9.0504555556,10.8046517157,13.3608463698,6.6987352639,13.8480039296
GADD45A,21.7404085028,19.4295189904,18.2931028604,20.2704008674,13.4877984704,13.4045145719,7.912273682,1.2824778195,4.4547457103,6.0167043024,2.8712094563,5.8125752385,4.1849593145,6.8963986991,8.0382639746,3.2563047447
B3GNT2,5.7814139035,5.3405356217,4.9106602816,6.4970789149,7.8817946854,3.4073057621,2.2111328031,2.374281781,2.6537674431,1.5746013252,2.3400135561,1.6142837173,1.829538497,1.5119317242,3.3350491616,1.7136685629
RPS2,301.7450572591,389.0858948923,383.993914951,272.2197546552,296.1274809209,277.6436103273,165.6568700383,146.9861694811,234.1021475218,123.9949791778,137.6506322841,110.0598301906,135.8066939553,131.501993273,196.8179052276,163.1373407239
FCGRT,33.5373983714,4.2536248613,5.3816654164,1.730522624,3.9188132059,23.5286495353,1.3222538741,0.137059131,1.9527619887,1.4900086753,0.0776356359,0.3372753003,0.4888795109,0.4577152318,0.1700283221,0.7559873689
GRN,223.7494225187,20.3266746636,27.0360090308,14.595451099,19.2344371265,131.327220952,6.0839823246,12.5287033405,7.6882244484,6.3380367823,0.7833003193,4.3525787549,7.9435692799,4.9062060174,3.6869201155,6.6676781345
HNRNPA0,34.3748590153,47.2347523602,36.9819561069,64.4533721138,45.4582478824,32.3595531941,19.4523242087,18.0481103368,19.2652612087,10.3108811815,21.9668407757,12.554802744,14.667761604,13.1985252709,24.0527475414,11.1290871441
TPT1,89.287950483,115.7752022771,99.524607467,72.761473893,103.9419391872,65.3541699293,56.4770305546,35.9373872337,60.1584842748,43.9152648461,38.2791445509,45.0803539382,37.0433814371,34.3978481846,61.2243123692,44.6015634996
HOOK2,37.1949769939,12.8883073054,31.2931741124,27.9897443962,19.2763559121,28.131422701,7.7219124027,9.8245217215,8.9900222113,8.0866258268,2.9922751128,4.0326766034,3.3724294468,11.1562857817,6.8891605576,8.918125876
JUNB,2150.9215010112,712.4479011807,1789.5281058249,1601.0337654865,1101.2482524683,1611.5050467844,402.0595503638,543.4988389475,487.0937656226,420.9351858642,167.0879608017,190.3565340059,162.6372287854,609.5750243051,381.9810343988,484.2731709724
PTP4A1,7.0106658148,5.5671054725,9.9900736695,13.6896955004,9.774525475,5.6842855083,3.6232049283,3.2665525629,2.518306584,1.6932085728,3.4235055143,2.5585152172,2.5280680209,2.7848357896,4.5271181908,1.6746293729
DUSP6,19.5253322372,6.6634016996,4.7335320105,4.2986607952,4.7086537901,5.8485467318,1.655176701,1.2217261742,0.7706675095,2.4283113577,0.603750693,1.0143112624,0.7315169964,1.4085940979,2.9275249813,1.8837084555
EXOSC6,29.9958526309,33.2149629609,27.1614883758,63.9227977384,59.4518347576,30.7112285326,16.4182545611,19.4380817788,19.6399084041,12.2113045577,12.0029342131,9.3697409431,17.7351229537,11.5847216135,15.9380743901,13.6952832264
CTSB,34.7109768953,3.4436388959,5.7470838314,3.0498959158,5.9809770824,29.2932140505,1.9992895228,1.8074571151,3.1269561298,2.7878816897,0.9288364982,2.1850998646,1.2733983541,1.3113032922,1.4607769659,1.2262366763
RPL7,63.1342885615,99.6748961886,85.8513628073,54.8451339412,73.4499797617,55.2563420496,43.2256330231,29.6301442358,42.070115388,33.1617836568,37.090751382,34.7456615843,27.9424991746,27.0715626261,51.556590319,35.8257061497
CARS,0.6249712023,0.6065659931,0.2732148785,0.5171407095,0.5803834647,0.6823757817,1.2257143731,1.65380528,1.5861233062,1.5101018246,1.8900441711,1.7527088394,1.8960693132,1.3651658622,1.3080528105,1.9614121251
KIAA1671,0.0077938709,0.008425696,0.0053165493,0.0111711343,0.0112928,0.0754427078,0.1892820879,0.157680993,0.3438685161,0.2623310684,0.0659784591,0.2653171441,0.1826284818,0.385080681,0.0939830539,0.3590110516
TRIM5,0.2171734101,0.3859060105,0.4108034649,0.4931767278,0.3405584137,0.3183325419,1.0101847039,1.0173859223,0.5708800194,0.9974347915,1.3927445614,1.414962549,1.0397689179,1.7978926618,1.1305098773,1.454995568
RNASEK,32.522798481,36.8144284962,31.2871604886,25.7505183267,21.3186467618,40.1367676772,19.2060580126,16.371950133,16.0141213973,15.2898892518,19.7451773527,19.9180771376,16.1293151989,11.3085909326,14.7710378224,18.6731188232
RNF130,3.9010041425,1.0188455852,1.6258147597,0.491792953,0.4285467294,2.9536992119,0.3622572778,0.1477391581,0.4383948354,0.5375401355,0.0960821834,0.2387948765,0.1262784872,0.3168794439,0.2513453984,0.1709706319
RPLP0,116.3192005703,171.4552601769,124.8898250499,98.4761334615,122.6328067981,103.4951075244,72.8962129933,55.1022799082,91.2924764761,53.5175297329,51.9218679845,45.6006954844,53.7013783194,51.966007703,80.565990141,65.8878462842
ING1,7.3029837696,4.1369434497,4.5591725559,6.895087993,7.6178154364,7.4227296419,0.9802775783,1.8307100463,3.0004932624,2.4628840827,2.6028188492,1.0283765095,2.3570288116,2.330322276,1.7570131699,3.1685638885
EIF3L,9.7092297099,6.8215278439,6.2130716932,4.4601276662,6.0384353379,5.4426999989,2.4179722802,2.1683877389,3.7586740973,2.4844544435,2.2421122651,2.5286601822,3.3093894934,2.2509511827,3.7403446704,3.748982037
ATP6V1G1,18.0695524541,24.4906177889,22.6532241253,26.0257884696,29.677007992,18.8772740035,15.8990709219,11.2917620043,11.9882022153,10.811140403,12.3023532218,12.8973645126,11.9167551991,8.9999619013,16.6682718141,8.7380223765
CTSS,78.879170918,7.7375113069,12.6581660213,6.2782524271,6.5632774852,45.5160397215,2.2912762705,5.857552447,3.9074834265,3.2534156191,3.2617915764,3.5028768416,4.3945203998,3.7928976478,2.4258530303,3.2118817809
MIDN,20.7240088423,13.2711316864,19.4727739056,29.8935073013,19.5753179786,25.1593643002,9.1765305504,11.7616367983,4.3872710804,3.9764757074,8.0933955826,6.7877136387,9.1458462409,3.9323779095,6.5205198458,6.3722332643
LRRC39,0.0195877299,0.0206684457,0.0246203295,0.162713372,0.0141906582,0.0134138454,0.4578446961,0.3105057233,0.3762311123,0.2775636045,0.4712931186,1.0931429708,0.2990233995,0.915610175,0.3616642466,0.2606749449
